time_s,fly,left_x_m,left_y_m,left_z_m,right_x_m,right_y_m,right_z_m,left_c_arbitrary_per_m3,right_c_arbitrary_per_m3,left_generic_rate_Hz,right_generic_rate_Hz,tarsal_food_contact
0.0,fly_1,0.0010557869014951177,-0.0028921520449137037,0.0011892794928333897,0.0010557875782076372,-0.0031078637411376254,0.001189288354044139,14480064.917294923,13586028.329212047,17.016119733482086,16.362952911200694,0
0.0,fly_2,0.0010557811454646466,0.0031078433814804313,0.0011892763948184882,0.0010557819189807602,0.002892131685313041,0.0011892865323654797,13586094.347184915,14480105.956961147,16.363001522329874,17.016149482150812,0
0.001,fly_1,0.0010562902148257176,-0.0028924267270080814,0.0011889218213413065,0.0010562455209900687,-0.0031081383716881467,0.001189064364887367,14496131.787139954,13600716.755350094,17.0176477434353,16.3647199304567,0
0.001,fly_2,0.001057955006255217,0.003107436143586914,0.001185332960804823,0.0010578991600432124,0.002891724487171776,0.0011854518499076442,13619515.420535985,14514979.403238848,16.378545078967235,17.03129233913889,0
0.002,fly_1,0.0010573730367357652,-0.002893261010925101,0.0011889939466274858,0.0010572165116507482,-0.0031089724268349365,0.0011893046118046432,14512782.629635151,13615335.677014172,17.019616106146735,16.366451744326316,0
0.002,fly_2,0.001062756910677642,0.003105474812110268,0.0011751769642573432,0.0010624908848642252,0.0028897632945689413,0.0011752569459115357,13684644.42954171,14582610.347570721,16.417336560017322,17.070076381791168,0
0.003,fly_1,0.0010593319726146411,-0.0028942628131105198,0.00118988643894976,0.001059047595853525,-0.003109973984431459,0.0011902680984667638,14532830.217938853,13633123.607337724,17.024054892544,16.370525507925162,0
0.003,fly_2,0.0010696148733750814,0.0031018289409388503,0.0011614017604023696,0.0010689956785744955,0.002886118182848442,0.0011612554434826485,13774741.970041871,14675842.344561988,16.474288233553047,17.127181948822077,0
0.004,fly_1,0.0010622526934898967,-0.0028950774906577356,0.001191855161448134,0.0010618648358229354,-0.0031107884953628503,0.0011922398461513338,14557846.699379835,13655839.990967518,17.032087499798223,16.37822146412034,0
0.004,fly_2,0.00107781847756184,0.0030965306762266824,0.0011459721520557591,0.0010767370843478815,0.002880822375521405,0.0011454284956023493,13882622.954480283,14787131.592081714,16.544009381970962,17.197036930876656,0
0.005,fly_1,0.0010660776623246878,-0.0028954052537561383,0.0011950676558714916,0.0010656431448978878,-0.003111116211870402,0.0011954278097450137,14588433.591685385,13684260.853456259,17.044130603058612,16.390092004720294,0
0.005,fly_2,0.0010866576412321702,0.0030897364617472763,0.0011302498342363287,0.0010850390578785716,0.0028740330415658703,0.0011292748076972814,14001512.583088323,14909218.268357564,16.62145307596878,17.27432177025743,0
0.006,fly_1,0.0010707055657308941,-0.0028953615018388655,0.001199165071971167,0.0010702766014242693,-0.0031110725905739807,0.0011994446307581922,14624092.99394998,13717910.254770342,17.059806199023342,16.405769723518247,0
0.006,fly_2,0.0010953358009777876,0.003081799481040502,0.001115067499212964,0.0010931695540566675,0.0028661031493399346,0.001113676157423124,14124015.904318998,15034603.126727771,16.70117636867378,17.353605583792394,0
0.007,fly_1,0.0010760817578157752,-0.0028951674017300972,0.0012032639046984613,0.0010757072768486618,-0.003110878757049402,0.0012033470737698817,14665093.067241658,13757057.422144627,17.0792880262475,16.42543241714347,0
0.007,fly_2,0.0011031489327969844,0.0030734022062931378,0.0011008118619222358,0.0011005029299984406,0.0028577139610273168,0.0010990467868185398,14242408.515468078,15155698.900778085,16.777563920679604,17.429462827366944,0
0.008,fly_1,0.0010820151817558196,-0.002895308123949649,0.0012073881395445693,0.0010816593888103214,-0.003111019526231762,0.0012073707141378883,14708178.831000347,13797684.730194062,17.100220814097693,16.44613059563402,0
0.008,fly_2,0.0011089175885011721,0.0030646847466949,0.0010880492677628512,0.0011058939388169584,0.0028490040454582878,0.00108599290606052,14347954.503338436,15263374.600675993,16.844338585728085,17.495439523726375,0
0.009000000000000001,fly_1,0.0010883936086139576,-0.0028960138804394898,0.0012115088653004654,0.0010879845382487476,-0.003111725179255391,0.001211444124478302,14751726.737694982,13838060.760553736,17.12143384140674,16.4665984282977,0
0.009000000000000001,fly_2,0.0011113593961519716,0.00305554120025452,0.0010778310740050523,0.001108084077752465,0.002839867515230658,0.001075449930500318,14431440.139795713,15348103.731487017,16.894946693420025,17.544872839776623,0
0.01,fly_1,0.001095178831403218,-0.002897277595474618,0.0012154532745840283,0.0010946435968611724,-0.003112988585689047,0.0012153183988039315,14795820.644094221,13878382.214508742,17.142985392124864,16.486980007829423,0
0.01,fly_2,0.001110734562391053,0.0030470059099706086,0.0010701431596176548,0.0011073828063507705,0.0028313385502170994,0.0010673339541824466,14489714.973125026,15407340.90507897,16.92724523864126,17.576090871077298,0
0.011000000000000001,fly_1,0.0011023505379413414,-0.0028990437440018376,0.0012189720412982181,0.0011016234647466944,-0.003114754062641805,0.001218715597163612,14841003.687431373,13919261.600523185,17.165261139655815,16.50772022202913,0
0.011000000000000001,fly_2,0.0011080694847992322,0.0030398922328557718,0.001064878560257655,0.001104809520299488,0.002824232236414684,0.0010614617586434468,14525541.565448726,15444429.350433875,16.943332598864338,17.59157278278023,0
0.012,fly_1,0.001109858046182647,-0.0029012754997195323,0.0012218439163941503,0.0011088810843717016,-0.0031169845615958204,0.0012214171414509228,14887507.757824033,13960967.04948156,17.188422112935406,16.529011386513062,0
0.012,fly_2,0.0011046199037411844,0.003034779997330397,0.0010618921733279332,0.0011015700113869964,0.0028191282296875157,0.00105782409811856,14544314.588375844,15464819.029853746,16.94716069089425,17.59524714168831,0
0.013000000000000001,fly_1,0.0011175931789313065,-0.0029039563323163416,0.0012239546141140725,0.001116316570837035,-0.0031196633225051337,0.001223321666844089,14934927.217678428,14003152.557073072,17.212174524455815,16.550600127584865,0
0.013000000000000001,fly_2,0.0011013150066891738,0.003031797294197973,0.0010610132370149946,0.0010985078053989275,0.002816154017742543,0.0010563621180890224,14551498.984369941,15473670.766204944,16.942697015066546,17.590803658063134,0
